Station,Latitude,Longitude,Zone,Postcode
Purfleet,51.481173,0.236775,7,RM16 1PL
Purley,51.337364,-0.113614,6,CR8 2AP
Purley Oaks,51.346989,-0.098815,6,CR2 0ND
Putney,51.460953,-0.216603,2,SW15 1RT
Putney Bridge,51.467865,-0.209365,2,SW6 3UH
Queen's Park,51.534313,-0.204798,2,NW6 6HJ
Queens Road Peckham,51.474285,-0.057355,2,SE15 2JR
Queensbury,51.593883,-0.286332,4,HA8 5NP
Queenstown Road (Battersea),51.474959,-0.147355,2,SW8 3RX
Queensway,51.510449,-0.18742,1,W2 4SS
Rainham (Essex),51.517341,0.190692,6,RM13 9YH
Ravensbourne,51.41387,-0.006938,4,BR3 5HE
Ravenscourt Park,51.494068,-0.235969,2,W6 0UG
Rayners Lane,51.575397,-0.371061,5,HA5 5EG
Raynes Park,51.409375,-0.229913,4,SW20 8NE
Rectory Road,51.558763,-0.068386,2,N16 7QB
Redbridge,51.576367,0.045394,4,IG4 5BG
Redhill,51.240182,-0.166084,13,RH1 1RB
Reedham,51.331442,-0.123403,6,CR8 2DG
Regent's Park,51.523811,-0.145344,1,NW1 5HA
Richmond,51.463233,-0.301739,4,TW9 2AZ
Rickmansworth,51.640323,-0.473685,7,WD3 1QY
Riddlesdown,51.332675,-0.099494,6,CR8 1HN
Roding Valley,51.616956,0.044026,4,IG9 6LN
Romford,51.574642,0.183055,6,RM1 1SX
Rotherhithe,51.501595,-0.052966,2,SE16 4LF
Royal Albert,51.508494,0.045177,3,E16 2QD
Royal Oak,51.518294,-0.188824,2,W2 6ET
Royal Victoria,51.509055,0.017965,3,E16 1DE
Ruislip,51.572162,-0.421235,6,HA4 8LD
Ruislip Gardens,51.55996,-0.409294,5,HA4 6LG
Ruislip Manor,51.573452,-0.412849,6,HA4 9AA
Russell Square,51.523013,-0.12459,1,WC1N 1LG
Rye House,51.769463,0.005704,11,EN11 0EG
Salfords,51.201802,-0.162332,13,RH1 5DE
Sanderstead,51.348246,-0.093709,6,CR2 0PL
Selhurst,51.392186,-0.089899,4,SE25 6LL
Seven Kings,51.563993,0.09632,4,IG3 8RE
Seven Sisters,51.583362,-0.072467,3,N15 5LA
Shadwell DLR,51.5113,-0.056919,2,E1 2QE
Shadwell LO,51.5113,-0.056919,2,E1 2QE
Shenfield,51.630873,0.329952,7,CM15 8JD
Shepherd's Bush LU,51.504532,-0.218519,2,W12 8LH
Shepherd's Bush Market,51.505881,-0.2274,2,W12 7JD
Shepherd's Bush NR,51.504532,-0.218519,2,W12 8LH
Shoreditch High Street,51.523467,-0.077087,1,E1 6AW
Shortlands,51.405602,0.002768,4,BR2 0JA
Sidcup,51.434398,0.103315,5,DA15 7AW
Silver Street,51.615242,-0.07259,4,N18 1QX
Slade Green,51.467748,0.190518,6,DA8 2NX
Sloane Square,51.49236,-0.156489,1,SW1W 8BB
Snaresbrook,51.580891,0.021464,4,E11 1QE
South Acton,51.499686,-0.270215,3,W3 0DS
South Bermondsey,51.487677,-0.054755,2,SE16 2PL
South Croydon,51.36275,-0.092517,5,CR2 7PA
South Ealing,51.501644,-0.30704,3,W5 4QB
South Greenford,51.534028,-0.336737,4,UB6 2WE
South Hampstead,51.541477,-0.178371,2,NW8 0DJ
South Harrow,51.56468,-0.351894,5,HA2 8HN
South Kensington,51.494071,-0.173923,1,SW7 2NB
South Kenton,51.571044,-0.308143,4,HA9 8QT
South Merton,51.403241,-0.20555,4,SW20 9JT
South Quay,51.500864,-0.018461,2,E14 9SH
South Ruislip,51.55689,-0.399116,5,HA4 6TP
South Tottenham,51.580403,-0.071856,3,N15 6ND
South Wimbledon,51.415361,-0.191975,3,SW19 1DE
South Woodford,51.591553,0.027943,4,E18 1JJ
Southall,51.505957,-0.378711,4,UB2 4AA
Southbury,51.648434,-0.052983,5,EN3 4HW
Southfields,51.444883,-0.206609,3,SW18 5RJ
Southgate,51.632376,-0.12777,4,N14 5BH
Southwark,51.503854,-0.105795,1,SE1 8NW
St James Street,51.580609,-0.032805,3,E17 7PJ
